Turks,,8167,Turkije
Turks,,8168,Turkish
Ukrainians,,8176,Ukrainian
Welsh,,8211,wales
Welsh,,8212,Wales
Northern Irish,,8019,northern ireland
Northern Irish,,8020,Northern Ireland
Zambians,,8226,Zambian
Inuit (North American people),,7894,Inuit
Burmese,7736,7735,Burma
Burmese,7736,7736,Burmese
Tasmanians,,8149,Tasmania
Thai,8154,8154,Thai
Estonians,,7812,Estonian
Lithuanians,,7947,Lithuanian
Lithuanians,,7948,litouwen
Lithuanians,,7949,Litouwen
Latvians,,7939,Latvian
New South Welshmen,,8001,New South Wales
Danes,,7786,Danish
Danes,,7788,Denemarken
Venezuelans,,8198,venezuelan
Venezuelans,,8199,Venezuelan
Argentines,,7681,argentine
Argentines,,7682,Argentine
Argentines,,7683,Argentinie͏̈
Argentines,,7684,argentinië
Zimbabweans,,8070,Rhodesia
Zimbabweans,,8071,Rhodesian
Zimbabweans,,8228,Zimbabwean
Ugandans,,8173,Ugandan
Kenyans,,7931,Kenyan
Southern Africans,,8229,zuid-afrika
Southern Africans,,8230,Zuid-Afrika
Malawians,,7962,Malawian
Israelis,,7906,Israe͏̈l
Israelis,,7908,Israeli
Malaysians,,7964,Malaysian
Malaysians,,7965,Maleisie͏̈
Malaysians,,7966,maleisië
Sri Lankans,,7748,Ceylon
Sri Lankans,,8126,Sri Lankan
Macedonians,,7960,Macedonian (modern)
Peruvians,,8048,Peruvian
Uruguayans,,8182,Uruguayan
Guyanese,7856,7856,Guyanese
Austrians,,7699,Austrian
Austrians,,8029,oostenrijk
Austrians,,8030,Oostenrijk
South Koreans,,8118,South Korean
Swedes,,8134,Sverige
Swedes,,8136,swedish
Swedes,,8137,Swedish
Swedes,,8232,zweden
Swedes,,8233,Zweden
Dutch,7796,7795,dutch
Dutch,7796,7796,Dutch
Dutch,7796,7993,nederland
Dutch,7796,7994,Nederland
Dutch,7796,7997,Netherlandish
Bolivians,,7721,Bolivian
Taiwanese,8147,8145,"Taipei, Taiwan"
Taiwanese,8147,8147,Taiwanese
South Vietnamese,,8209,Vietnam (Zuid)
Hong Kongers,,7870,Hong Kong (China)
Batswana,7706,7706,Batswana
Jamaicans,,7920,Jamaican
Nepali,,7996,Nepalese
Indonesians,,7890,Indonesian
Indonesians,,7891,Indonesie͏̈
Indonesians,,7892,indonesië
Serbs,,8097,Serbian
Dominicans (Dominican Republic),,7791,Dominican (Dominican Republic)
Bahamians,,7703,Bahamian
Egyptians,,7805,Egyptian
Ecuadorians,,7800,ecuadorian
Ecuadorians,,7801,Ecuadorian
Nicaraguans,,8008,Nicaraguan
Sudanese,8130,8130,Sudanese
Salvadorans,,8086,Salvadoran
Paraguayans,,8041,Paraguayan
Fijians,,7818,Fijian
Maltese,7968,7968,Maltese
Costa Ricans,,7772,Costa Rican
Surinamers,,8132,Surinamese
Albanians,,7667,Albanian
Cypriots,,7780,Cypriot
Pakistanis,,8034,Pakistani
Azerbaijanis,,7701,Azerbaijani
Bretons,,8174,U.K.
Bretons,,8202,verenigd koninkrijk
Bretons,,8203,Verenigd Koninkrijk
Belarusian,,7716,Belorussian
Bulgarians,,7734,bulgarije
Cambodians,,7742,Cambodian
Croatians,,7775,Croatian
Ethiopians,,7814,ethiopian
Hondurans,,7865,Honduran
Iraqis,,7900,Iraqi
Jordanians,,7928,Jordanian
Palestinians,,8035,Palestine
Palestinians,,8036,Palestinian
British Columbians,,7708,B.C.
Serbia and Montenegro,,7776,cs
Serbia and Montenegro,,400294,CS
Koreans,,7932,Korea
Koreans,,7933,Korean
Hispanic Americans,,7937,Latin American (Latino)
Mughal,,7984,Mogul
New Mexicans,,8014,N.M.
Native Americans,,7991,native american
Native Americans,,7992,Native American
Northern Europeans,,8018,Northern European
Ukrainians,,8026,Oekrai͏̈ne
Prussians,,8062,Prussia
Prussians (Kingdom),,8063,Prussia (Kingdom)
Prussians,,8064,Prussian
Romans,,8074,Roman
Malaysians,,8085,Sabah
Scandinavians,,8089,Scandinavian
Soviet Union,,8120,Sovjet-Unie
Americans,,8171,U.C.
Americans,,8190,ust
Koreans,,8220,xk
Koreans,,400444,XK
Yugoslavians,,8222,yu
Yugoslavians,,400448,YU
Yugoslavians,,8223,Yugoslavian
International,,400452,ZZ
